ID_cliente,CodigoCompra,DiaCompra,ValorTotal
12747,537215,2020-12-05,358.55999999999995
12747,538537,2020-12-13,347.71
12747,541677,2021-01-20,303.03999999999996
12747,545321,2021-03-01,310.78
12747,551992,2021-05-05,442.96
12747,554549,2021-05-25,328.34999999999997
12747,558265,2021-06-28,376.3
12747,563949,2021-08-22,301.70000000000005
12747,569397,2021-10-04,675.38
12747,577104,2021-11-17,312.73
12747,581163,2021-12-07,438.5
12748,537136,2020-12-05,273.76
12748,537140,2020-12-05,70.42
12748,537142,2020-12-05,41.45
12748,537155,2020-12-05,75.64
12748,537225,2020-12-05,496.48
12748,537354,2020-12-06,133.07
12748,537429,2020-12-06,82.12
12748,537624,2020-12-07,306.84000000000003
12748,537800,2020-12-08,69.78999999999999
12748,537804,2020-12-08,130.64
12748,537871,2020-12-08,167.09
12748,538000,2020-12-09,101.9
12748,538049,2020-12-09,18.4
12748,538050,2020-12-09,15.9
12748,538205,2020-12-10,336.15999999999997
12748,538207,2020-12-10,271.47
12748,538209,2020-12-10,185.06
12748,538280,2020-12-10,612.1
12748,538283,2020-12-10,10.29
12748,538836,2020-12-14,234.85999999999999
12748,539085,2020-12-16,164.64
12748,539181,2020-12-16,135.44
12748,539216,2020-12-16,16.15
12748,539334,2020-12-17,25.95
12748,539455,2020-12-17,121.02
12748,539754,2020-12-21,69.29
12748,539921,2020-12-23,20.3
12748,539953,2020-12-23,12.35
12748,540251,2021-01-05,12.75
12748,540257,2021-01-05,238.55
12748,541432,2021-01-18,158.95
12748,544315,2021-02-17,23.95
12748,544819,2021-02-23,69.59
12748,545062,2021-02-27,275.25
12748,545159,2021-02-28,13.05
12748,545979,2021-03-08,111.0
12748,546366,2021-03-11,106.11
12748,546380,2021-03-11,13.0
12748,546381,2021-03-11,19.740000000000002
12748,546412,2021-03-11,70.28999999999999
12748,546991,2021-03-18,167.43
12748,547227,2021-03-21,147.6
12748,547669,2021-03-24,163.46
12748,547809,2021-03-25,185.1
12748,547816,2021-03-25,25.25
12748,547818,2021-03-25,76.2
12748,547819,2021-03-25,94.19
12748,548656,2021-04-01,16.7
12748,549523,2021-04-08,32.65
12748,550320,2021-04-17,389.2
12748,550320,2021-04-17,236.07
12748,551419,2021-04-28,400.0
12748,551424,2021-04-28,16.95
12748,552036,2021-05-05,211.15
12748,552189,2021-05-06,10.08
12748,552242,2021-05-06,62.67999999999999
12748,552243,2021-05-06,84.49
12748,552244,2021-05-06,29.89
12748,552245,2021-05-06,108.87
12748,552246,2021-05-06,19.720000000000002
12748,552247,2021-05-06,21.39
12748,552249,2021-05-06,35.97
12748,552251,2021-05-06,22.14
12748,552304,2021-05-08,183.29999999999998
12748,552307,2021-05-08,95.85
12748,552693,2021-05-10,21.599999999999998
12748,552829,2021-05-11,465.85999999999996
12748,552861,2021-05-11,27.310000000000002
12748,552959,2021-05-12,474.6
12748,553015,2021-05-12,56.2
12748,554924,2021-05-27,12.850000000000001
12748,554947,2021-05-27,100.48
12748,555091,2021-05-31,170.02
12748,555620,2021-06-06,13.0
